10;2461;2108;1984
60;318134;289614;255144
110;3665265;2649662;6835448
160;17898844;13983972;13349990
210;42621710;31647895;15836459
260;59294066;56831611;35559954
310;69238326;84010790;71068871
360;134752960;165858111;162506976
410;188837478;201384079;144113905
460;395223292;288605956;217256522
510;356509191;392436488;297725664
560;562695390;582191742;470455081
610;778089868;753693356;448460698
660;897638448;815368512;601916533
710;1046206486;1006422165;760308965
760;1273228060;1316469330;911442523
810;1493111305;1518765162;1170836800
860;1783635038;2036139298;1138464630
910;2138683344;2224401425;1486063838
960;2508733809;2484159348;1776877298
1010;2951230088;2958477549;2293595632
